Date,Daily flow Rate,Gauge height flow,24h accumulated,sm_top_0_10cm,sm_10_40cm,sm_change_rate,saturation_index,flow_change_rate,flow_lag_1d,flow_lag_2d,rain_sum_3d,rain_sum_5d,rain_sum_7d,API,Avg_Slope,Elevation,Mean_TWI,Drainage_Density,Mean_CN,LULC_Forest_pct,LULC_Agriculture_pct,LULC_BuiltUp_pct,LULC_Grassland_pct,LULC_Water_pct,LULC_Barren_pct,flood_raw,flood_final
2009-01-03,456.0,3.33,0.0,22.784666696666665,65.74936421666666,4.666666663333334,39.97054570466667,-0.0086956521550094,460.0,470.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-04,448.0,3.31,0.0,22.027666726666663,68.65603383333334,-0.7569999700000025,40.679013569333335,-0.0175438596106494,456.0,460.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-05,445.0,3.3,0.0,18.6376667,58.216000873333336,-3.3900000266666623,34.46900036933334,-0.0066964285564811,448.0,456.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-06,449.0,3.31,0.0,17.94566663333333,56.25103632666666,-0.6920000666666688,33.26781451066666,0.0089887640247443,445.0,448.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-07,453.0,3.32,0.0,18.68700027333333,58.91377385333334,0.741333639999997,34.777709705333336,0.0089086859489784,449.0,445.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-08,449.0,3.31,0.0,17.94566663333333,56.25103632666666,-0.741333639999997,33.26781451066666,-0.0088300220555628,453.0,449.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-09,441.0,3.29,0.0,17.718999863333334,53.98500060999999,-0.2266667699999978,32.225400162,-0.0178173718979568,449.0,453.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-10,433.0,3.27,0.0,19.164333346666663,60.72633234666667,1.445333483333329,35.78913294666667,-0.0181405895280258,441.0,449.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-11,429.0,3.26,0.0,16.360666273333333,51.86199315333334,-2.803667073333329,30.56119702533333,-0.009237875267349,433.0,441.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-12,429.0,3.26,0.0,16.360666273333333,51.86199315333334,0.0,30.56119702533333,0.0,429.0,433.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-13,425.0,3.25,0.0,18.491666156666668,58.79133351666667,2.1309998833333346,34.61153310066667,-0.009324009302275,429.0,429.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-14,421.0,3.24,0.0,19.789332706666663,56.788869223333336,1.297666549999995,34.58914731333333,-0.009411764683737,425.0,429.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-15,413.0,3.22,0.0,17.566000303333333,55.402067820000006,-2.2233324033333304,32.70042731,-0.0190023752517758,421.0,425.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-16,409.0,3.21,0.0,18.125666616666667,57.19273630666667,0.5596663133333344,33.75249449266667,-0.0096852300007621,413.0,421.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-17,409.0,3.21,0.0,18.125666616666667,57.19273630666667,0.0,33.75249449266667,0.0,409.0,413.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-18,405.0,3.2,0.0,14.384666439999998,45.45519256666668,-3.741000176666669,26.812876890666672,-0.0097799510763326,409.0,409.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
2009-01-19,409.0,3.21,0.0,18.125666616666667,57.19273630666667,3.741000176666669,33.75249449266667,0.00987654318549,405.0,409.0,0.0,0.0,0.0,0.0,51.46030188913976,2498.0926989085983,5.534685248064617,0.0002019858469333,83.78663,0.4257,0.1268,0.1818,0.1567,0.0448,0.0001,0,0
